KEY,METRIC_1,METRIC_2,METRIC_3,METRIC_4,METRIC_5,METRIC_6,METRIC_7,METRIC_8,METRIC_9,METRIC_10,avg_metric
11069433100,0.76,0.1,858.49,1.15,0.049,0.08,0.039,0.304,87.73,0.38,94.91
11069434200,0.72,0.09,1211.04,1.49,0.05,0.088,0.044,0.31,94.15,0.31,130.83
11069436400,0.73,0.06,2787.84,0.63,0.047,0.087,0.032,0.322,100.94,0.0,289.07
11069437500,0.34,0.06,2152.96,1.97,0.052,0.091,0.036,0.317,91.4,0.0,224.72
11069448500,0.66,0.1,961.0,2.86,0.05,0.084,0.039,0.334,98.94,0.26,106.43
11069501300,0.91,0.09,998.56,1.33,0.049,0.07,0.021,0.337,79.24,0.52,108.11
11069502400,1.09,0.09,1049.76,1.61,0.049,0.082,0.03,0.302,89.39,0.49,114.29
11069505700,1.09,0.07,1705.69,2.42,0.052,0.091,0.025,0.327,97.74,0.0,180.75
11069506800,0.2,0.08,1521.0,0.25,0.053,0.08,0.017,0.301,76.94,0.0,159.89
11069510100,0.91,0.1,998.56,3.18,0.047,0.062,0.024,0.31,88.54,0.37,109.21
11069513400,0.23,0.08,1497.69,3.25,0.058,0.128,0.035,0.317,83.05,0.0,158.48
11069733400,0.4,0.12,605.16,2.43,0.055,0.082,0.027,0.3,58.86,0.32,66.78
11069734500,0.98,0.08,1354.24,0.47,0.052,0.067,0.029,0.297,69.2,0.0,142.54
11069737800,0.69,0.11,729.0,2.68,0.053,0.1,0.037,0.324,64.63,0.3,79.79
11069738900,0.34,0.14,470.89,1.25,0.054,0.098,0.028,0.306,52.58,0.44,52.61
11069752100,0.61,0.11,795.24,2.25,0.053,0.099,0.032,0.321,64.26,0.43,86.34
11069754300,0.86,0.07,1713.96,2.73,0.051,0.079,0.022,0.327,73.46,0.0,179.16
11069755400,0.74,0.08,1576.09,0.57,0.055,0.083,0.025,0.309,63.68,0.0,164.16
11069777400,0.66,0.09,1169.64,2.68,0.054,0.089,0.026,0.322,56.73,0.0,123.03
11069778500,0.19,0.08,1354.24,1.79,0.054,0.098,0.031,0.338,58.16,0.0,141.5
11069855500,1.14,0.09,1102.24,2.54,0.051,0.074,0.033,0.319,71.12,0.11,117.77
11070106300,0.74,0.09,19348.81,0.92,0.046,0.097,0.032,0.313,40.29,0.35,1939.17
11070107400,0.59,0.08,1544.49,2.1,0.044,0.059,0.033,0.311,40.74,0.43,158.89
11070109600,1.04,0.13,7974.49,2.68,0.048,0.09,0.037,0.343,34.06,0.43,801.33
11070110700,1.16,0.16,5990.76,3.87,0.047,0.069,0.028,0.307,28.79,0.53,602.57
11070115100,1.01,0.15,6177.96,8.47,0.046,0.066,0.03,0.295,32.07,0.47,622.06
11070116200,0.36,0.14,6972.25,4.14,0.046,0.06,0.035,0.302,34.99,0.59,701.29
